feature_name,relative_importances,overall_std,overall_min,overall_max
X,68.6124431393136,18236.046022819977,200211.0,519473.0
Y,19.745333659076945,15619.497585335612,81776.0,2478104.0
Z,8.595056805955808,4694.660448759126,2381970.0,2483983.0
intensity,2.0989535497928737,1902.0964967936882,19523.0,52559.0
bit_fields,0.578244287272069,5.639651325015574,17.0,85.0
classification_flags,0.2831549091007206,12.89641435667724,0.0,32.0
classification,0.08475786823534023,0.0,1.0,1.0
user_data,0.0019777254927653078,18.859726256051825,0.0,255.0
scan_angle,6.107410548140075e-05,811.2665523180555,-1406.0,7500.0
point_source_id,1.3579942150396185e-05,0.0,0.0,0.0
gps_time,3.3445214341709494e-06,1.2495838265670798,402251692.356864,402251866.42292
red,5.719083136101618e-08,8697.022057136799,0.0,65535.0
green,1.2904919523276928e-34,8168.242973980269,0.0,65535.0
blue,1.5266762698241748e-38,8458.455382436763,0.0,65535.0
